university,career,inscription_date,last_name,first_name,gender,age,postal_code,email,location
univ. nacional del comahue,diseño industrial,2020-11-20,harris,michelle,female,103,7261,martinezjohn@hotmail.com,saladillo norte
univ. nacional del comahue,contador público,2020-10-31,hill,amanda,female,30,8129,tyler57@hotmail.com,17 de agosto
univ. nacional del comahue,licenciatura en ciencias ambientales,2020-09-04,montes,jason,male,95,3194,wbryant@hotmail.com,paso telegrafo
univ. nacional del comahue,agronomía,2021-01-31,davis,ryan,male,86,3328,patriciazamora@gmail.com,colonia japonesa
univ. nacional del comahue,diseño industrial,2020-12-03,burton,sana,female,50,4500,kleinlauren@gmail.com,alto del saladillo
univ. nacional del comahue,licenciatura en ciencias geológicas,2020-11-24,gonzales,rebekah,female,41,7609,mterry@yahoo.com,balneario la caleta
univ. nacional del comahue,licenciatura en gestión de agroalimentos,2020-10-23,gibson,laura,female,81,3087,carmenmckinney@yahoo.com,felicia
univ. nacional del comahue,licenciatura en ciencias biológicas,2021-01-09,mcdonald,michael,male,63,3000,benjamin45@yahoo.com,barranquitas
univ. nacional del comahue,licenciatura en gestión de agroalimentos,2021-01-01,mathis,stephen,male,73,5557,christine82@yahoo.com,caracoles
univ. nacional del comahue,licenciatura en producción de bioimagenes,2020-10-18,gibson,timothy,male,57,6050,christopherevans@gmail.com,cuartel vii
univ. nacional del comahue,arquitectura,2020-10-11,hunt,cody,male,53,3214,keith37@hotmail.com,estacion yerua
univ. nacional del comahue,medicina,2020-12-25,miles,bradley,male,93,6331,floresrobert@yahoo.com,colonia beaufort
univ. nacional del comahue,ingeniería en informática,2020-11-19,robertson,melissa,female,27,7630,josephking@gmail.com,hospital necochea
univ. nacional del comahue,licenciatura en producción de bioimagenes,2020-09-18,campbell,jane,female,18,7311,gillespiebrian@yahoo.com,chillar
univ. nacional del comahue,licenciatura en ciencia política,2020-10-14,spears,barbara,female,49,6433,cindy96@hotmail.com,arturo vatteone
univ. nacional del comahue,diseño industrial,2020-11-05,stokes,joshua,male,73,5701,jennifer73@gmail.com,11 de mayo
univ. nacional del comahue,agronomía,2020-12-23,christensen,gary,male,27,5505,james83@hotmail.com,carbometal
univ. nacional del comahue,contador público,2020-10-13,collier,lisa,female,94,6634,casestacey@yahoo.com,alberti
univ. nacional del comahue,diseño de imagen y sonido,2020-12-09,owen,joel,male,95,6409,kevinsalas@yahoo.com,jose maria blanco
univ. nacional del comahue,licenciatura en ciencias de la computación,2020-09-06,petty,james,male,51,5521,ethanjimenez@hotmail.com,los corredores
univ. nacional del comahue,licenciatura en ciencia política,2020-10-03,rich,rachel,female,103,7221,sheila33@yahoo.com,francisco berra
