,university,career,inscription_date,last_name,first_name,gender,fecha_nacimiento,age,postal_code,location,email,_dob,_doi,_hoy,_age_hoy,_age_ins,_diff_hoy_ins,_age_ins_1,_age_ins_2
0,univ. nacional del comahue,diseño industrial,2020-11-20,harris,michelle,female,1917-10-13,103,7261,saladillo norte,martinezjohn@hotmail.com,1917-10-13,2020-11-20,2022-11-14 01:19:50.794925,105.08923646348751,103.10683997618021,1.9823964873072981,103.10683997618021,103.10683997618021
1,univ. nacional del comahue,contador público,2020-10-31,hill,amanda,female,1990-04-08,30,8129,17 de agosto,tyler57@hotmail.com,1990-04-08,2020-10-31,2022-11-14 01:19:50.794925,32.603148453466765,30.5659938260197,2.037154627447066,30.5659938260197,30.5659938260197
2,univ. nacional del comahue,licenciatura en ciencias ambientales,2020-09-04,montes,jason,male,1925-08-09,95,3194,paso telegrafo,wbryant@hotmail.com,1925-08-09,2020-09-04,2022-11-14 01:19:50.794925,97.26703614452134,95.07382081767592,2.1932153268454186,95.07382081767592,95.07382081767592
3,univ. nacional del comahue,agronomía,2021-01-31,davis,ryan,male,1934-12-23,86,3328,colonia japonesa,patriciazamora@gmail.com,1934-12-23,2021-01-31,2022-11-14 01:19:50.794925,87.89518045959969,86.10991327679555,1.7852671828041338,86.10991327679555,86.10991327679555
4,univ. nacional del comahue,diseño industrial,2020-12-03,burton,sana,female,1970-02-12,50,4500,alto del saladillo,kleinlauren@gmail.com,1970-02-12,2020-12-03,2022-11-14 01:19:50.794925,52.75414402490218,50.80734032868573,1.946803696216449,50.80734032868573,50.80734032868573
5,univ. nacional del comahue,licenciatura en ciencias geológicas,2020-11-24,gonzales,rebekah,female,1979-01-13,41,7609,balneario la caleta,mterry@yahoo.com,1979-01-13,2020-11-24,2022-11-14 01:19:50.794925,43.836780903140614,41.86533604386127,1.9714448592793445,41.86533604386127,41.86533604386127
6,univ. nacional del comahue,licenciatura en gestión de agroalimentos,2020-10-23,gibson,laura,female,1938-12-03,81,3087,felicia,carmenmckinney@yahoo.com,1938-12-03,2020-10-23,2022-11-14 01:19:50.794925,83.94985646252924,81.89079857902627,2.059057883502973,81.89079857902627,81.89079857902627
7,univ. nacional del comahue,licenciatura en ciencias biológicas,2021-01-09,mcdonald,michael,male,1957-09-19,63,3000,barranquitas,benjamin45@yahoo.com,1957-09-19,2021-01-09,2022-11-14 01:19:50.794925,65.15412485955314,63.308623722595264,1.8455011369578713,63.308623722595264,63.308623722595264
8,univ. nacional del comahue,licenciatura en gestión de agroalimentos,2021-01-01,mathis,stephen,male,1947-04-18,73,5557,caracoles,christine82@yahoo.com,1947-04-18,2021-01-01,2022-11-14 01:19:50.794925,75.57733683515839,73.7099324421446,1.8674043930137856,73.7099324421446,73.7099324421446
9,univ. nacional del comahue,licenciatura en producción de bioimagenes,2020-10-18,gibson,timothy,male,2013-07-20,57,6050,cuartel vii,christopherevans@gmail.com,2013-07-20,2020-10-18,2022-11-14 01:19:50.794925,9.319987266036497,7.247239847498579,2.0727474185379178,,57.21491448898482
